id,smaas,group,yoga,meditation,t_oad,t_pad,t_nad,c_oad,c_pad,c_nad,c_pa_nad,t_happy,t_excited,t_relaxed,t_satisfied,t_angry,t_anxious,t_depressed,t_sad,mind,both_mind,gm_smaas,gc_smaas,group_mind,smaas_mind,group_both_mind,smaas_both_mind
57,5.7049551,1,1,1,.098606572,.088819183,.10839397,.15710932,.22074363,.19268689,.11990485,.098235168,.088159591,.095869556,.073012419,.11466906,.12014613,.10036252,.098398156,0,0,4.7575555,.94739962,0,0,0,0
58,4.1051049,0,2,2,.14491166,.15769386,.13212945,.15591705,.15140502,.20214693,.14027286,.18404204,.14531861,.1480116,.15340322,.10876565,.19128455,.11637777,.11208984,1,1,4.7575555,-.65245056,0,-.65245056,0,-.65245056
60,4.7676768,1,1,1,.11939926,.13072029,.10807823,.15723072,.15783322,.14065127,.16322207,.20327297,.11372984,.10783824,.098040119,.11594123,.090410203,.07402344,.15193807,0,0,4.7575555,.010121346,0,0,0,0
61,3.7456141,1,2,2,.10601978,.10205731,.10998225,.15499768,.21162941,.21135204,.11262789,.097234331,.12738913,.094367161,.089238591,.087604277,.12509322,.12053654,.10669497,1,1,4.7575555,-1.0119414,1,-1.0119414,1,-1.0119414
62,5.346561,1,2,2,.088587917,.10296623,.074209601,.1923417,.28359929,.21984631,.14780588,.097709827,.10470986,.11717444,.092270792,.067902297,.044755392,.078077689,.10610303,1,1,4.7575555,.58900547,1,.58900547,1,.58900547
63,5.3430419,1,2,2,.07737907,.086362824,.068395317,.13112715,.17840801,.17852786,.095621563,.099647596,.071801312,.055532198,.11847018,.044486511,.068316892,.051897064,.1088808,1,1,4.7575555,.58548641,1,.58548641,1,.58548641
64,5.204793,1,1,1,.12703046,.13544422,.11861669,.14642425,.23796053,.079178594,.13731526,.16263239,.11208407,.12226167,.14479876,.10049926,.070704713,.11041925,.19284354,0,0,4.7575555,.44723749,0,0,0,0
66,4.8562689,0,1,1,.10701177,.091324978,.12269855,.12533611,.20646779,.097384453,.1053936,.060997721,.12447801,.09205991,.087764278,.091414832,.13592814,.1394511,.12400015,0,0,4.7575555,.098713398,0,0,0,0
67,4.7448978,1,1,1,.10563058,.091356099,.11990505,.14857484,.2100541,.21975021,.098829359,.077335387,.070504852,.0972367,.12034746,.11344753,.13859451,.11432569,.11325245,0,0,4.7575555,-.012657642,0,0,0,0
68,5.030303,1,1,1,.089950651,.091567382,.088333912,.1485725,.22095133,.14354451,.12331595,.093651898,.076715149,.082214899,.11368758,.084610894,.10370017,.047015093,.1180095,0,0,4.7575555,.27274752,0,0,0,0
70,5.6744184,0,1,1,.084917642,.087215759,.082619525,.14892673,.2240382,.14732823,.12135939,.074990563,.12920173,.087172098,.057498649,.073653191,.093110852,.082050852,.081663199,0,0,4.7575555,.91686296,0,0,0,0
71,5.7228913,0,1,1,.1255049,.11355308,.13745672,.15181804,.19682012,.13015935,.14306426,.13696884,.11929689,.10356731,.094379298,.12678768,.14603558,.13633969,.14066392,0,0,4.7575555,.96533585,0,0,0,0
72,3.8730159,0,1,1,.14488436,.14756238,.14220633,.16013891,.2171846,.070818491,.17224191,.22595666,.16646178,.12300835,.074822724,.15167603,.13745022,.16092817,.1187709,0,0,4.7575555,-.8845396,0,0,0,0
74,4.852459,0,1,1,.083379515,.079951353,.086807676,.15191127,.23329945,.1124078,.13620453,.086375371,.085548416,.074233212,.073648408,.090698093,.073406219,.062708981,.12041742,0,0,4.7575555,.094903469,0,0,0,0
79,5.9608846,0,1,1,.092594683,.085500032,.099689327,.12980394,.18754776,.1022224,.11849309,.114072,.059230395,.096908972,.071788765,.056823131,.12005917,.10406951,.11780552,0,0,4.7575555,1.2033291,0,0,0,0
80,3.4856176,1,1,1,.096325777,.095451675,.09719988,.14538755,.18141966,.22082151,.10358777,.10085788,.096475124,.10377822,.08069548,.089133427,.10497829,.097513646,.097174153,0,0,4.7575555,-1.2719378,0,0,0,0
81,5.2390924,1,1,1,.094576336,.077037491,.11211517,.12640421,.216738,.1541618,.082119949,.10485823,.067825869,.063351691,.07211417,.074463874,.13007791,.13831739,.10560154,0,0,4.7575555,.48153687,0,0,0,0
84,2.8848798,1,1,1,.10538435,.12497991,.085788794,.13582692,.24248363,.19456618,.073803425,.12625363,.13749397,.13175716,.1044149,.075139292,.085285358,.089744046,.092986487,0,0,4.7575555,-1.8726757,0,0,0,0
86,4.9754601,0,2,2,.086394891,.081851505,.090938278,.12349684,.23901524,.12988831,.077780642,.068612464,.1153731,.094538532,.048881918,.07239572,.12132131,.084287323,.085748754,1,1,4.7575555,.21790457,0,.21790457,0,.21790457
87,5.0717487,0,1,1,.08034043,.070228383,.090452485,.13581772,.24289481,.15835203,.087213442,.053501982,.073303565,.07373403,.08037395,.080081679,.099213064,.085414737,.097100444,0,0,4.7575555,.31419325,0,0,0,0
88,3.9395349,0,1,1,.08178097,.075181119,.088380821,.14736967,.22004163,.12005905,.13035917,.081590474,.06083893,.089974627,.068320461,.084623039,.096062861,.081894122,.090943269,0,0,4.7575555,-.81802058,0,0,0,0
93,4.1454544,0,1,1,.099632628,.081782639,.11748262,.14791082,.2699641,.12339899,.11133279,.080170795,.07970015,.084905587,.082354017,.11050139,.10585319,.12758316,.12599275,0,0,4.7575555,-.61210108,0,0,0,0
94,4.7324157,0,1,1,.079112127,.081803866,.076420382,.12414391,.17612171,.076700054,.12244367,.070980512,.12307487,.080942571,.052217506,.051845968,.063431725,.1440651,.046338744,0,0,4.7575555,-.025139809,0,0,0,0
95,5.8000002,0,1,1,.074647315,.052042145,.097252488,.13439944,.22553088,.17730458,.084135734,.042258907,.0607436,.047507931,.057658151,.085397564,.063918158,.11328022,.126414,0,0,4.7575555,1.0424447,0,0,0,0
96,5.9904761,0,1,1,.10516147,.099233352,.11108959,.13869295,.18356894,.15334691,.11636921,.12828416,.11060795,.083469592,.074571706,.12604313,.043776594,.11565125,.15888739,0,0,4.7575555,1.2329206,0,0,0,0
97,4.9277391,1,1,1,.095222943,.078633748,.11181214,.1698699,.22938654,.28495649,.1043937,.089213267,.091603659,.064385116,.069332942,.090096466,.16226944,.072498582,.12238407,0,0,4.7575555,.17018366,0,0,0,0
